Row Labels,Session_Length,Max_Page_Reached,Price_Count,Price_Variance,High_Intent,,,,,,,,,
1,9,5,9,106.3611111,0,,,,,Column,Type,Description,How It Was Derived,Business Meaning
2,10,2,10,107.7777778,0,,,,,Session_ID,Numeric,Unique session identifier,From raw data,Session-level grouping variable
3,6,5,6,64.16666667,0,,,,,Session_Length,Numeric,Total number of clicks in session,MAX(order) per session,Browsing intensity
4,4,3,4,163.5833333,0,,,,,Max_Page_Reached,Numeric (1–5),Deepest page visited,MAX(page) per session,Funnel progression
5,1,2,1,0,1,,,,,Price_Variance,Numeric,Variance of viewed prices,VAR.S(price) per session,Price comparison behavior
6,5,3,5,92.7,0,,,,,Price_Count,Numeric,Number of price observations,COUNT(price) per session,Depth of comparison
7,11,4,11,127.1636364,0,,,,,High_Intent,Binary (0/1),1 = high purchase intent session,"Based on rule combining length, page depth, and price behavior",Proxy for strong purchase likelihood
8,9,3,9,166.1111111,0,,,,,,,,,
9,3,2,3,217,0,,,,,,,,,
10,5,1,5,144.8,0,,,,,,,,,
11,1,1,1,0,0,,,,,,,,,
12,7,2,7,67.14285714,0,,,,,,,,,
13,3,1,3,75,0,,,,,,,,,
14,1,3,1,0,1,,,,,,,,,
15,25,4,25,85.51,0,,,,,,,,,
16,2,4,2,12.5,0,,,,,,,,,
17,7,4,7,155.6190476,0,,,,,,,,,
18,11,2,11,247.0727273,0,,,,,,,,,
19,5,2,5,42.5,0,,,,,,,,,
20,3,2,3,8.333333333,0,,,,,,,,,
21,7,1,7,189.9047619,0,,,,,,,,,
22,4,2,4,144,0,,,,,,,,,
23,3,4,3,192,0,,,,,,,,,
24,6,2,6,90.26666667,0,,,,,,,,,
25,2,1,2,50,0,,,,,,,,,
26,2,1,2,288,0,,,,,,,,,
27,5,1,5,49.7,0,,,,,,,,,
28,6,1,6,171.5,0,,,,,,,,,
29,3,1,3,290.3333333,0,,,,,,,,,
30,11,3,11,96.81818182,0,,,,,,,,,
31,12,4,12,88.93181818,0,,,,,,,,,
32,3,2,3,25,0,,,,,,,,,
33,21,4,21,136.447619,0,,,,,,,,,
34,2,1,2,40.5,0,,,,,,,,,
35,5,2,5,157.3,0,,,,,,,,,
36,2,1,2,0,0,,,,,,,,,
